,Power per Knot,SFC,time
0,130434.40946533333,0.027333333333333334,11934
1,1596393.8449799998,0.04783333333333333,11933
2,1291106.0522614445,0.028777777777777777,11932
3,1898790.4923895833,0.029833333333333333,11931
4,2775684.4914144003,0.034800000000000005,11930
5,3819103.7044624444,0.03933333333333333,11929
6,4971315.738451429,0.04323809523809524,11928
7,6560656.479387,0.0515,11927
8,9595044.176109444,0.06785185185185186,11926
9,171626.61833333332,0.026333333333333334,11925
10,1593548.5535733334,0.04816666666666666,11924
11,1291119.0018562223,0.028666666666666667,11923
12,1898810.9337919997,0.029833333333333333,11922
13,2775728.7506134,0.03473333333333333,11921
14,3819109.525466889,0.03927777777777777,11920
15,4971279.520526476,0.04319047619047619,11919
16,6560758.03105925,0.051416666666666666,11918
17,9595084.872945,0.06777777777777778,11917
18,344352.98920199997,0.029333333333333333,11916
19,1590820.527397,0.04816666666666666,11915
20,1291142.891456,0.028666666666666667,11914
21,1898820.218588,0.02975,11913
22,2775750.622091667,0.034666666666666665,11912
23,3819135.5433697775,0.03916666666666666,11911
24,4971220.347578666,0.043095238095238096,11910
25,6560838.990798584,0.051333333333333335,11909
26,9595228.722951666,0.06770370370370371,11908
27,622381.917323,0.035666666666666666,11907
28,1570803.5402671667,0.04816666666666666,11906
29,1291157.0672146669,0.028555555555555556,11905
30,1898836.2755314168,0.029666666666666664,11904
31,2775761.107294267,0.0346,11903
32,3819157.9828427774,0.03911111111111111,11902
33,4971178.206693762,0.04304761904761905,11901
34,6560899.105269709,0.05125,11900
35,9595348.968947409,0.06762962962962964,11899
36,859140.8141766666,0.04133333333333333,11898
37,1556665.494615,0.047999999999999994,11897
38,1291168.4760177778,0.028444444444444446,11896
39,1898845.755755,0.029583333333333333,11895
40,2775812.5507288,0.03453333333333333,11894
41,3819172.3685445,0.039,11893
42,4971126.487040762,0.04295238095238095,11892
43,6560940.0379622495,0.051166666666666666,11891
44,9595508.395971296,0.06755555555555556,11890
45,1037911.519429,0.04533333333333334,11889
46,1555547.395338,0.04783333333333333,11888
47,1291185.8875599997,0.028444444444444446,11887
48,1898855.6853413333,0.0295,11886
49,2775787.659831333,0.0344,11885
50,3819205.775216,0.03894444444444444,11884
51,4971078.040535999,0.04285714285714286,11883
52,6560971.3797375,0.051083333333333335,11882
53,9595576.44783022,0.06748148148148149,11881
54,1394468.6673353335,0.054,11880
55,1546518.846268,0.04766666666666666,11879
56,1291202.2270965555,0.028333333333333335,11878
57,1898869.42112175,0.029416666666666664,11877
58,2775851.3220840003,0.034333333333333334,11876
59,3819218.2373,0.03883333333333333,11875
60,4971033.023152001,0.04280952380952381,11874
61,6560983.672464666,0.05104166666666667,11873
62,9595682.098444037,0.06740740740740742,11872
63,1785342.6331439998,0.06366666666666666,11871
64,1496341.440432,0.04699999999999999,11870
65,1291217.4814675555,0.02822222222222222,11869
66,1898883.41483,0.029416666666666664,11868
67,2775868.06224,0.03426666666666667,11867
68,3819230.559641556,0.03877777777777777,11866
69,4970985.072624,0.04271428571428572,11865
70,6560976.467978333,0.050958333333333335,11864
71,9595762.752264371,0.0672962962962963,11863
72,1915912.7193149999,0.06666666666666667,11862
73,1485698.8279639997,0.04666666666666667,11861
74,1291241.6793553333,0.02822222222222222,11860
75,1898885.8649908332,0.029333333333333333,11859
76,2775902.9880276006,0.0342,11858
77,3819271.5170528335,0.03866666666666666,11857
78,4970942.931617,0.042666666666666665,11856
79,6560957.228081667,0.050875000000000004,11855
80,9595812.92853011,0.06722222222222222,11854
81,2557521.3215306667,0.083,11853
82,1467910.2767506668,0.04633333333333334,11852
83,1291252.1637314442,0.02811111111111111,11851
84,1898897.7954225,0.029249999999999998,11850
85,2775923.5769104,0.034133333333333335,11849
86,3819286.7647000006,0.03861111111111111,11848
87,4970884.963144001,0.04257142857142857,11847
88,6560939.6650025,0.05079166666666667,11846
89,9596044.305585999,0.06714814814814815,11845
90,2935422.682113333,0.09266666666666667,11844
91,1450786.8886275,0.046000000000000006,11843
92,1291270.1916504444,0.028,11842
93,1898917.9125455,0.029166666666666664,11841
94,2775947.8862013337,0.03406666666666667,11840
95,3819324.7733079996,0.03855555555555555,11839
96,4970800.625443714,0.04247619047619048,11838
97,6560920.234331749,0.050708333333333334,11837
98,9596186.590558555,0.06707407407407408,11836
99,3357574.781805,0.10733333333333334,11835
100,1424396.3098095001,0.04533333333333334,11834
101,1291291.4619955553,0.028,11833
102,1898928.295532,0.029083333333333333,11832
103,2775975.4996558665,0.034,11831
104,3819346.1620471114,0.03844444444444444,11830
105,4970745.576431857,0.04242857142857143,11829
106,6560901.704239125,0.050625,11828
107,9596254.569917666,0.067,11827
108,3388931.368244,0.111,11826
109,1371971.8747019998,0.044333333333333336,11825
110,1291306.7163995553,0.02788888888888889,11824
111,1898935.1967160834,0.028999999999999998,11823
112,2775988.166136133,0.033933333333333336,11822
113,3819367.656625999,0.03838888888888889,11821
114,4970687.423859286,0.042333333333333334,11820
115,6560883.879593834,0.05054166666666667,11819
116,9596387.013097037,0.06692592592592593,11818
117,3028050.431028334,0.10933333333333334,11817
118,1391236.7978196666,0.044500000000000005,11816
119,1291315.968155,0.027777777777777776,11815
120,1898949.8977095832,0.028999999999999998,11814
121,2776009.7814816,0.03386666666666667,11813
122,3819397.460795,0.03827777777777777,11812
123,4970646.346179714,0.04228571428571429,11811
124,6560864.577635,0.050458333333333334,11810
125,9596488.767025223,0.06685185185185184,11809
126,2141203.213831,0.09266666666666667,11808
127,1319275.3479066666,0.043000000000000003,11807
128,1291340.782518667,0.027777777777777776,11806
129,1898959.6359461665,0.028916666666666663,11805
130,2776019.850838,0.03373333333333333,11804
131,3819423.697610112,0.03822222222222222,11803
132,4970591.49559881,0.04219047619047619,11802
133,6560845.5994684175,0.050375,11801
134,9596537.056748224,0.06677777777777777,11800
135,1620456.3338316667,0.08033333333333333,11799
136,1260073.2111113335,0.041666666666666664,11798
137,1291359.118646889,0.027666666666666666,11797
138,1898967.43985,0.028833333333333332,11796
139,2776057.7275740663,0.033666666666666664,11795
140,3819446.5905083334,0.03816666666666667,11794
141,4970552.868539667,0.042095238095238095,11793
142,6560826.617029999,0.050333333333333334,11792
143,9596685.540032817,0.0667037037037037,11791
144,1150618.0018,0.06799999999999999,11790
145,1260786.280623,0.041666666666666664,11789
146,1291371.914410889,0.027555555555555555,11788
147,1898996.9708312498,0.028749999999999998,11787
148,2776087.9384227996,0.0336,11786
149,3819456.9324421105,0.03805555555555556,11785
150,4970522.375758333,0.04204761904761905,11784
151,6560807.062103334,0.050249999999999996,11783
152,9596809.611972,0.06662962962962962,11782
153,763106.6326919999,0.056,11781
154,1180009.852425,0.03983333333333333,11780
155,1291389.4801262221,0.027555555555555555,11779
156,1898992.3949546667,0.028666666666666663,11778
157,2776092.748000733,0.03353333333333333,11777
158,3819490.4311645,0.038000000000000006,11776
159,4970475.261231429,0.04195238095238095,11775
160,6560788.017516751,0.050166666666666665,11774
161,9596825.404573334,0.06655555555555555,11773
162,234406.33302433335,0.036,11772
163,1189822.06459,0.03983333333333333,11771
164,1291409.9801866666,0.027444444444444445,11770
165,1899007.6783587502,0.028583333333333336,11769
166,2776130.3997373334,0.033466666666666665,11768
167,3819487.0793161113,0.03788888888888889,11767
168,4970442.671145238,0.0419047619047619,11766
169,6560767.748638124,0.050083333333333334,11765
170,9596946.88656,0.06648148148148147,11764
171,135773.81719200002,0.029666666666666664,11763
172,1161689.6796658332,0.03916666666666666,11762
173,1291418.7697815555,0.027333333333333334,11761
174,1899018.252784917,0.028583333333333336,11760
175,2776155.4791458,0.0334,11759
176,3819511.9896835554,0.03783333333333334,11758
177,4970402.500020238,0.04180952380952381,11757
178,6560737.445047501,0.049999999999999996,11756
179,9597015.468984112,0.0664074074074074,11755
180,141460.02255999998,0.023666666666666666,11754
181,1172789.0013023333,0.03933333333333333,11753
182,1291439.2631456666,0.027333333333333334,11752
183,1899032.762475,0.0285,11751
184,2776178.2493816,0.03333333333333333,11750
185,3819521.6683537224,0.03777777777777778,11749
186,4970365.899661904,0.041761904761904764,11748
187,6560570.863182374,0.049916666666666665,11747
188,9597270.393237334,0.06633333333333333,11746
189,225375.42279,0.023999999999999997,11745
190,1081684.2546395,0.037,11744
191,1291448.0527666667,0.02722222222222222,11743
192,1899050.9453414998,0.02841666666666667,11742
193,2776203.5539800003,0.03326666666666667,11741
194,3819530.438817555,0.03766666666666667,11740
195,4970332.615015476,0.041666666666666664,11739
196,6560481.551215335,0.049833333333333334,11738
197,9597611.504516,0.06625925925925925,11737
198,360537.27812499995,0.027,11736
199,1075677.1990416667,0.036833333333333336,11735
200,1291467.4675466665,0.02711111111111111,11734
201,1899053.46209825,0.028333333333333335,11733
202,2776210.9609572,0.0332,11732
203,3819525.376777778,0.037611111111111116,11731
204,4970298.494665333,0.04157142857142857,11730
205,6560435.158676251,0.049749999999999996,11729
206,9598516.751821851,0.06618518518518518,11728
207,400600.4928563333,0.02766666666666667,11727
208,1068833.836778,0.0365,11726
209,1291485.3482473334,0.02711111111111111,11725
210,1899067.06913,0.02825,11724
211,2776240.8840688,0.033133333333333334,11723
212,3819524.266552445,0.037500000000000006,11722
213,4970264.699922,0.041523809523809525,11721
214,6560401.568884499,0.049708333333333334,11720
