,Fuel to Power,Power to Speed,Temperature-Pressure,time
0,0.00028279372611772496,96.65466666666667,53.053748231966054,11934
1,4.123456577272426e-05,1160.03,46.73106301718651,11933
2,3.090976508697877e-05,931.0254444444444,45.55763381995134,11932
3,2.431339284228656e-05,1227.0329166666668,40.685603695842175,11931
4,2.4125974190199196e-05,1442.4288000000001,35.06637905677028,11930
5,2.3764185968718342e-05,1655.1517222222221,31.42879106651562,11929
6,2.329269425157854e-05,1856.2942857142857,28.060350112390157,11928
7,2.4236811056880266e-05,2124.8669999999997,25.73267551321311,11927
8,2.517751764766013e-05,2694.938111111111,22.972264246091783,11926
9,0.00020796040855006846,126.62666666666667,52.96777442094663,11925
10,4.1468317057855905e-05,1161.5293333333334,46.77080012751037,11924
11,3.0790135747502745e-05,931.0341111111112,45.583346019181,11923
12,2.4313146811201758e-05,1227.0453333333332,40.711000000000006,11922
13,2.4079371895361313e-05,1442.4517999999998,35.08952586630018,11921
14,2.3730420011987383e-05,1655.1657222222223,31.446046662346074,11920
15,2.326721101508249e-05,1856.280761904762,28.08286162449703,11919
16,2.4197390783978597e-05,2124.8847499999997,25.753988531198548,11918
17,2.514996698551465e-05,2694.945,22.994078766180117,11917
18,0.00011686261073728356,251.00699999999998,52.513963161022,11916
19,4.1512693834833485e-05,1160.2876666666666,46.81417624521074,11915
20,3.078958825012029e-05,931.0506666666666,45.615912208504795,11914
21,2.4245114439656694e-05,1227.0513333333333,40.73632836941559,11913
22,2.4032989900367083e-05,1442.4616666666666,35.10927672955975,11912
23,2.3663016095415725e-05,1655.184888888889,31.463341443633414,11911
24,2.321618148866363e-05,1856.2586666666666,28.103509490645912,11910
25,2.4158015698239402e-05,2124.898583333333,25.776874538116086,11909
26,2.5122118162872273e-05,2694.983888888889,23.017097159665415,11908
27,7.974820436110881e-05,447.241,51.78658183921342,11907
28,4.191247949152766e-05,1149.2201666666667,46.90930940554398,11906
29,3.066991202866789e-05,931.0608888888889,45.64174549893195,11905
30,2.4177012130136707e-05,1227.0609166666666,40.76183913806064,11904
31,2.3986719399243136e-05,1442.4648666666667,35.13262495080676,11903
32,2.3629189809455422e-05,1655.2032222222222,31.47828204920029,11902
33,2.319073349596434e-05,1856.242238095238,28.124205345546514,11901
34,2.4118702133812953e-05,2124.907041666667,25.798349459305637,11900
35,2.5094331874820347e-05,2695.016148148148,23.039160646081637,11899
36,6.753279288945046e-05,612.0483333333333,51.237016052880065,11898
37,4.2067457797794874e-05,1141.0245,46.97782776349614,11897
38,3.055032593378981e-05,931.0684444444445,45.67461044912924,11896
39,2.4108994386679068e-05,1227.06625,40.787407500313556,11895
40,2.3940058530207964e-05,1442.4916,35.15256574411504,11894
41,2.356182971503175e-05,1655.2195000000002,31.495814029098597,11893
42,2.3139658665920176e-05,1856.2236190476192,28.145017793594306,11892
43,2.4079412490571676e-05,2124.9134166666668,25.81993275970141,11891
44,2.5066429818222345e-05,2695.060925925926,23.06238768833802,11890
45,6.158909836730018e-05,736.061,50.839225902493496,11889
46,4.196769715641799e-05,1139.7655,47.011261261261254,11888
47,3.0549913964998154e-05,931.0809999999999,45.70056583575471,11887
48,2.4040956009668538e-05,1227.0726666666667,40.81303365143144,11886
49,2.384788928848482e-05,1442.4756666666665,35.176018144167244,11885
50,2.3527988673807492e-05,1655.239,31.51338595491903,11884
51,2.3088593472900804e-05,1856.2041428571426,28.16787720981225,11883
52,2.404013486790181e-05,2124.9187500000003,25.843099218348836,11882
53,2.5038816349462062e-05,2695.0747407407407,23.08460970658793,11881
54,5.487940589316741e-05,983.9756666666667,50.08010849909584,11880
55,4.20336280782284e-05,1134.0126666666667,47.07046114156724,11879
56,3.043021522276887e-05,931.0921111111111,45.726576852418866,11878
57,2.397288578332491e-05,1227.0807499999999,40.838717787555,11877
58,2.3801138942268143e-05,1442.508,35.196150049358344,11876
59,2.3460642841751753e-05,1655.2544444444445,31.531079429735232,11875
60,2.3063148336782716e-05,1856.1873333333333,28.188859161693077,11874
61,2.402050460864265e-05,2124.9206666666664,25.864846338398262,11873
62,2.50110911133848e-05,2695.1006296296296,23.106933345651072,11872
63,5.059854636469313e-05,1258.2706666666666,49.32934973637961,11871
64,4.2683851609135794e-05,1101.119,47.25921715121001,11870
65,3.0310522954373832e-05,931.103111111111,45.759656652360505,11869
66,2.3972724608130842e-05,1227.089,40.869729389553186,11868
67,2.3754804570978987e-05,1442.5152,35.21980628582724,11867
68,2.3426872112503757e-05,1655.2691111111112,31.548894869912733,11866
69,2.3012061860732234e-05,1856.1694285714284,28.209890109890107,11865
70,2.398131379166729e-05,2124.9183333333335,25.888126286890877,11864
71,2.4969696243439063e-05,2695.118740740741,23.130428749826557,11863
72,4.933721617224609e-05,1351.2450000000001,49.13695045359386,11862
73,4.2662922081048586e-05,1093.846,47.327308255984356,11861
74,3.0309976791388247e-05,931.1198888888889,45.785944452969154,11860
75,2.3904782362236638e-05,1227.0905833333334,40.89566532258065,11859
76,2.370830302205995e-05,1442.5326,35.24013060255268,11858
